Probe_name	Gene_Name	Gene_desc	Tumor_1_ERPos_expr	Tumor_2_ERNeg_expr
X99374_S_AT	ADAM2	ADAM metallopeptidase domain 2 (fertilin beta)	-105	-31
D26579_AT	ADAM8	ADAM metallopeptidase domain 8	493	511
U41766_S_AT	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	140	177
U10439_AT	ADAR	"adenosine deaminase, RNA-specific"	2746	1228
U76421_AT	ADARB1	"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"	205	897
L05500_AT	ADCY1	adenylate cyclase 1 (brain)	-315	-281
L21993_AT	ADCY2	adenylate cyclase 2 (brain)	-61	934
D25538_AT	ADCY7	adenylate cyclase 7	98	800
Z35309_AT	ADCY8	adenylate cyclase 8 (brain)	127	-140
S83513_S_AT	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	529	424
D17516_AT	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	63	-317
L07261_S_AT	ADD1	adducin 1 (alpha)	51	187
Z68280_CDS2_S_AT	ADD1	adducin 1 (alpha)	1461	571
S81083_CDS1_AT	ADD2	adducin 2 (beta)	383	118
U43959_AT	ADD2	adducin 2 (beta)	-234	-176
X58199_S_AT	ADD2	adducin 2 (beta)	46	203
U37122_AT	ADD3	adducin 3 (gamma)	530	678
X97324_AT	ADFP	adipose differentiation-related protein	180	151
M12963_S_AT	ADH1A /// ADH1B /// ADH1C	"alcohol dehydrogenase 1A (class I), alpha polypeptide /// alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide"	127	-262
X03350_AT	ADH1B	"alcohol dehydrogenase IB (class I), beta polypeptide"	50	70
X56411_RNA1_AT	ADH4	"alcohol dehydrogenase 4 (class II), pi polypeptide"	110	363
M81118_AT	ADH5	"alcohol dehydrogenase 5 (class III), chi polypeptide"	328	122
M68895_RNA1_AT	ADH6	alcohol dehydrogenase 6 (class V)	274	24
X63359_AT	ADH6	alcohol dehydrogenase 6 (class V)	339	171
X76342_AT	ADH7	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	55	62
D45371_AT	ADIPOQ	"adiponectin, C1Q and collagen domain containing"	478	555
U33936_S_AT	ADK	adenosine kinase	418	98
U50196_AT	ADK	adenosine kinase	167	137
D14874_AT	ADM	adrenomedullin	49	239
L22214_AT	ADORA1	adenosine A1 receptor	395	693
X68486_AT	ADORA2A	adenosine A2a receptor	746	653
X68487_AT	ADORA2B	adenosine A2b receptor	-48	206
L77730_AT	ADORA3	adenosine A3 receptor	270	247
D32202_AT	ADRA1A	"adrenergic, alpha-1A-, receptor"	86	286
M76446_AT	ADRA1D	"adrenergic, alpha-1D-, receptor"	-178	-144
M23533_AT	ADRA2A	"adrenergic, alpha-2A-, receptor"	-162	-260
M34041_AT	ADRA2B	"adrenergic, alpha-2B-, receptor"	-17	274
U72648_S_AT	ADRA2C	"adrenergic, alpha-2C-, receptor"	-273	-858
J02960_CDS1_S_AT	ADRB2	"adrenergic, beta-2-, receptor, surface"	-35	146
M15169_AT	ADRB2	"adrenergic, beta-2-, receptor, surface"	268	-94
M29932_S_AT	ADRB3	"adrenergic, beta-3-, receptor"	632	581
X70811_AT	ADRB3	"adrenergic, beta-3-, receptor"	209	242
U08438_AT	ADRBK1	"adrenergic, beta, receptor kinase 1"	-1328	-1587
D64154_AT	ADRM1	adhesion regulating molecule 1	776	1298
X65867_AT	ADSL	adenylosuccinate lyase	149	891
X66503_AT	ADSS	adenylosuccinate synthase	39	392
D86479_AT	AEBP1	AE binding protein 1	1486	1343
U04241_AT	AES	amino-terminal enhancer of split	1859	4729
X73358_S_AT	AES	amino-terminal enhancer of split	1348	724
D25248_AT	AFAP1	actin filament associated protein 1	359	820
L13773_AT	AFF1	"AF4/FMR2 family, member 1"	642	240
L76569_AT	AFF2	"AF4/FMR2 family, member 2"	-60	-259
U48436_S_AT	AFF2	"AF4/FMR2 family, member 2"	24	-28
X95463_S_AT	AFF2	"AF4/FMR2 family, member 2"	66	-223
U34360_AT	AFF3	"AF4/FMR2 family, member 3"	-182	-620
L32140_AT	AFM	afamin	-181	72
M10950_CDS2_AT	AFP	alpha-fetoprotein	-98	38
V01514_AT	AFP	alpha-fetoprotein	40	47
X55330_AT	AGA	aspartylglucosaminidase	82	35
U89336_CDS3_AT	AGER	advanced glycosylation end product-specific receptor	421	641
U84011_S_AT	AGL	"amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"	360	359
U56417_AT	AGPAT1	"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"	675	1385
U56418_AT	AGPAT2	"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"	932	1894
Y09443_AT	AGPS	alkylglycerone phosphate synthase	162	199
K02215_AT	AGT	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	1	238
D13814_S_AT	AGTR1	"angiotensin II receptor, type 1"	232	58
S77410_AT	AGTR1	"angiotensin II receptor, type 1"	1093	296
U20860_AT	AGTR2	"angiotensin II receptor, type 2"	-21	-75
U03642_AT	AGTRL1	angiotensin II receptor-like 1	885	191
X53414_AT	AGXT	alanine-glyoxylate aminotransferase	145	-56
M61832_S_AT	AHCY	S-adenosylhomocysteine hydrolase	1074	1343
U79259_AT	AHDC1	"AT hook, DNA binding motif, containing 1"	394	663
M80899_AT	AHNAK	AHNAK nucleoprotein	946	570
L19872_AT	AHR	aryl hydrocarbon receptor	84	212
M16961_AT	AHSG	alpha-2-HS-glycoprotein	237	83
U19713_S_AT	AIF1	allograft inflammatory factor 1	328	269
U83115_AT	AIM1	absent in melanoma 1	754	3039
U78521_AT	AIP	aryl hydrocarbon receptor interacting protein	1121	1674
J04809_RNA1_AT	AK1	adenylate kinase 1	408	794
X60673_RNA1_AT	AK3L1	adenylate kinase 3-like 1	572	258
AF015910_AT	AKAP1	A kinase (PRKA) anchor protein 1	-260	176
X97335_AT	AKAP1	A kinase (PRKA) anchor protein 1	258	896
U00957_AT	AKAP10	A kinase (PRKA) anchor protein 10	-98	-48
U81607_AT	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	46	-9
U03634_AT	AKAP13	A kinase (PRKA) anchor protein 13	67	-121
M90359_AT	AKAP5	A kinase (PRKA) anchor protein 5	-63	-125
U17195_AT	AKAP6	A kinase (PRKA) anchor protein 6	97	184
AC000066_AT	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	25	280
J04794_AT	AKR1A1	"aldo-keto reductase family 1, member A1 (aldehyde reductase)"	1389	2608
X15414_AT	AKR1B1	"aldo-keto reductase family 1, member B1 (aldose reductase)"	565	713
U05861_AT	AKR1C1	"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"	78	300
D17793_AT	AKR1C3	"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)"	181	269
S68287_AT	AKR1C4	"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)"	-54	-113
Z28339_AT	AKR1D1	"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)"	-49	69
M63167_AT	AKT1	v-akt murine thymoma viral oncogene homolog 1	940	716
M95936_S_AT	AKT2	v-akt murine thymoma viral oncogene homolog 2	565	-342
U79271_AT	AKT3	"V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	92	-177
M13928_S_AT	ALAD	"aminolevulinate, delta-, dehydratase"	183	-137
Y00451_S_AT	ALAS1	"aminolevulinate, delta-, synthase 1"	249	313
Z83821_CDS2_AT	ALAS2	"aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)"	-110	-117
U22961_S_AT	ALB	albumin	37	141
L38608_AT	ALCAM	activated leukocyte cell adhesion molecule	480	153
U30999_AT	ALCAM	activated leukocyte cell adhesion molecule	2314	551
X94453_AT	ALDH18A1	"aldehyde dehydrogenase 18 family, member A1"	100	37
M31994_AT	ALDH1A1	"aldehyde dehydrogenase 1 family, member A1"	471	428
U07919_AT	ALDH1A3	"aldehyde dehydrogenase 1 family, member A3"	207	247
M63967_AT	ALDH1B1	"aldehyde dehydrogenase 1 family, member B1"	67	-183
X05409_AT	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	873	627
M74542_AT	ALDH3A1	"aldehyde dehydrogenase 3 family, memberA1"	80	-366
U46689_AT	ALDH3A2	"aldehyde dehydrogenase 3 family, member A2"	680	165
U10868_AT	ALDH3B1	"aldehyde dehydrogenase 3 family, member B1"	454	662
U37519_AT	ALDH3B2	"aldehyde dehydrogenase 3 family, member B2"	1651	295
U24266_AT	ALDH4A1	"aldehyde dehydrogenase 4 family, member A1"	387	303
L34820_AT	ALDH5A1	"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)"	218	171
M93405_AT	ALDH6A1	"aldehyde dehydrogenase 6 family, member A1"	1815	618
S74728_AT	ALDH7A1	"aldehyde dehydrogenase 7 family, member A1"	754	485
U34252_AT	ALDH9A1	"aldehyde dehydrogenase 9 family, member A1"	1845	3303
X12447_AT	ALDOA	"aldolase A, fructose-bisphosphate"	10004	18895
M15656_AT	ALDOB	"aldolase B, fructose-bisphosphate"	-1011	-921
X05196_AT	ALDOC	"aldolase C, fructose-bisphosphate"	103	620
Y09022_AT	ALG3	"asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)"	533	589
U66559_AT	ALK	anaplastic lymphoma kinase (Ki-1)	178	-21
X91992_AT	ALKBH1	"alkB, alkylation repair homolog 1 (E. coli)"	16	81
M62982_AT	ALOX12	arachidonate 12-lipoxygenase	-136	-338
M23892_S_AT	ALOX15	arachidonate 15-lipoxygenase	213	89
J03600_AT	ALOX5	arachidonate 5-lipoxygenase	545	135
M63262_AT	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	449	166
J03930_AT	ALPI	"alkaline phosphatase, intestinal"	295	153
M24439_AT	ALPL	"alkaline phosphatase, liver/bone/kidney"	777	495
M19159_AT	ALPP	"alkaline phosphatase, placental (Regan isozyme)"	529	680
J04948_AT	ALPPL2	"alkaline phosphatase, placental-like 2"	98	-449
X54816_AT	AMBP	alpha-1-microglobulin/bikunin precursor	39	-1
M21154_AT	AMD1	adenosylmethionine decarboxylase 1	252	854
M55418_AT	AMELX	"amelogenin (amelogenesis imperfecta 1, X-linked)"	54	0
M86933_S_AT	AMELX /// AMELY	"amelogenin (amelogenesis imperfecta 1, X-linked) /// amelogenin, Y-linked"	773	125
M55419_AT	AMELY	"amelogenin, Y-linked"	59	29
M86933_AT	AMELY	"amelogenin, Y-linked"	93	-82
M63175_AT	AMFR	autocrine motility factor receptor	460	455
K03474_AT	AMH	anti-Mullerian hormone	423	190
U29700_AT	AMHR2	"anti-Mullerian hormone receptor, type II"	534	-44
M60092_AT	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	-80	166
M91029_CDS2_AT	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	595	1922
D12775_S_AT	AMPD3	adenosine monophosphate deaminase (isoform E)	320	337
X81438_AT	AMPH	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	-252	-558
D14686_AT	AMT	aminomethyltransferase	702	385
D90097_AT	AMY2B	"amylase, alpha 2B (pancreatic)"	-63	217
M11567_RNA1_AT	ANG	"angiogenin, ribonuclease, RNase A family, 5"	-426	-605
D13628_AT	ANGPT1	angiopoietin 1	86	392
X16609_S_AT	ANK1	"ankyrin 1, erythrocytic"	44	5
Z26634_AT	ANK2	"ankyrin 2, neuronal"	-117	48
U13616_AT	ANK3	"ankyrin 3, node of Ranvier (ankyrin G)"	-39	223
X83703_AT	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	-5	-91
D79994_AT	ANKRD15	ankyrin repeat domain 15	507	3904
U79297_AT	ANKRD46	ankyrin repeat domain 46	618	269
D78334_AT	ANKRD7	ankyrin repeat domain 7	-49	71
D86982_AT	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	454	346
U73477_S_AT	ANP32A	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	215	495
U70439_S_AT	ANP32B	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"	4912	1942
M22324_AT	ANPEP	"alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)"	-177	258
X05908_AT	ANXA1	annexin A1	211	204
L19605_AT	ANXA11	annexin A11	2686	1354
Z11502_AT	ANXA13	annexin A13	-54	181
D00017_AT	ANXA2	annexin A2	4328	5953
D28364_AT	ANXA2	annexin A2	82	299
L20591_AT	ANXA3	annexin A3	440	328
M82809_AT	ANXA4	annexin A4	473	963
U01691_S_AT	ANXA5	annexin A5	1280	4158
Y00097_S_AT	ANXA6	annexin A6	734	666
J04543_AT	ANXA7	annexin A7	723	371
X16662_AT	ANXA8	annexin A8	24	69
M62840_AT	AOAH	acyloxyacyl hydrolase (neutrophil)	-489	125
D88213_AT	AOC2	"amine oxidase, copper containing 2 (retina-specific)"	268	555
U39447_AT	AOC3	"amine oxidase, copper containing 3 (vascular adhesion protein 1)"	-28	-71
L11005_AT	AOX1	aldehyde oxidase 1	-58	217
L13939_S_AT	AP1B1	"adaptor-related protein complex 1, beta 1 subunit"	1474	1886
M34175_AT	AP2B1	"adaptor-related protein complex 2, beta 1 subunit"	911	880
D63475_AT	AP2M1	"adaptor-related protein complex 2, mu 1 subunit"	784	2937
X97074_AT	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"	1778	2489
U91931_AT	AP3B1	"adaptor-related protein complex 3, beta 1 subunit"	163	238
U37673_AT	AP3B2	"adaptor-related protein complex 3, beta 2 subunit"	272	-8
U91930_AT	AP3D1	"adaptor-related protein complex 3, delta 1 subunit"	1054	941
D38293_AT	AP3M2	"adaptor-related protein complex 3, mu 2 subunit"	233	-153
U91932_AT	AP3S1	"adaptor-related protein complex 3, sigma 1 subunit"	714	1293
X99459_AT	AP3S2	"adaptor-related protein complex 3, sigma 2 subunit"	916	977
L04953_AT	APBA1	"amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)"	139	263
U79255_AT	APBA2	"amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)"	51	-543
L77864_AT	APBB1	"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"	-157	-192
U62325_AT	APBB2	"amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)"	201	-90
M73548_AT	APC	adenomatosis polyposis coli	20	-106
M74088_S_AT	APC	adenomatosis polyposis coli	246	-202
D00097_S_AT	APCS	"amyloid P component, serum"	-116	-49
D13370_AT	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	796	2130
U48437_AT	APLP1	amyloid beta (A4) precursor-like protein 1	557	81
L09209_S_AT	APLP2	amyloid beta (A4) precursor-like protein 2	1347	3825
X01038_RNA1_S_AT	APOA1	apolipoprotein A-I	298	-948
X07496_AT	APOA1	apolipoprotein A-I	-281	-133
X04898_RNA1_AT	APOA2	apolipoprotein A-II	-145	142
J02758_S_AT	APOA4	apolipoprotein A-IV	11	154
M19828_S_AT	APOB	apolipoprotein B (including Ag(x) antigen)	-198	-269
L26234_AT	APOBEC1	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"	-25	209
U03891_AT	APOBEC3B	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	153	500
M20902_AT	APOC1	apolipoprotein C-I	1645	2505
M10612_AT	APOC2	apolipoprotein C-II	260	267
X01388_AT	APOC3	apolipoprotein C-III	616	785
U32576_RNA1_AT	APOC4	apolipoprotein C-IV	269	-433
J02611_AT	APOD	apolipoprotein D	3353	3625
M12529_AT	APOE	apolipoprotein E	3897	7951
L27050_AT	APOF	apolipoprotein F	-144	-141
X53595_S_AT	APOH	apolipoprotein H (beta-2-glycoprotein I)	-1	205
Y00264_AT	APP	"amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)"	764	3390
U50939_AT	APPBP1	amyloid beta precursor protein binding protein 1	459	860
D86981_AT	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	60	190
Y00486_RNA1_AT	APRT	adenine phosphoribosyltransferase	1614	1850
M77829_S_AT	AQP1	aquaporin 1 (Colton blood group)	-440	-357
U41518_AT	AQP1	aquaporin 1 (Colton blood group)	867	2875
D31846_AT	AQP2	aquaporin 2 (collecting duct)	1767	856
AB001325_AT	AQP3	aquaporin 3 (Gill blood group)	1111	1826
D63412_AT	AQP4	aquaporin 4	73	20
U34844_AT	AQP4	aquaporin 4	-19	78
U46569_AT	AQP5	aquaporin 5	561	840
U48408_AT	AQP6	"aquaporin 6, kidney specific"	454	717
AB006190_AT	AQP7	aquaporin 7	485	819
M23263_AT	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	3498	225
M35851_S_AT	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	748	-225
M13829_S_AT	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	699	735
U01337_AT	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	1060	1657
D87468_AT	ARC	activity-regulated cytoskeleton-associated protein	-111	6
X81198_AT	ARCN1	archain 1	765	320
X77588_S_AT	ARD1A	"ARD1 homolog A, N-acetyltransferase (S. cerevisiae)"	841	238
M30703_S_AT	AREG /// LOC727738	amphiregulin (schwannoma-derived growth factor) /// similar to Amphiregulin precursor (AR) (Colorectum cell-derived growth factor) (CRDGF)	771	-285
M84332_AT	ARF1	ADP-ribosylation factor 1	5009	11847
M74491_AT	ARF3	ADP-ribosylation factor 3	6714	6009
M36341_AT	ARF4	ADP-ribosylation factor 4	1860	1672
M57567_AT	ARF5	ADP-ribosylation factor 5	1490	2325
M57763_AT	ARF6	ADP-ribosylation factor 6	201	614
U52521_AT	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	321	307
U52522_AT	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	1732	1365
X91504_AT	ARFRP1	ADP-ribosylation factor related protein 1	780	897
X12662_RNA1_AT	ARG1	"arginase, liver"	-5	97
U82256_AT	ARG2	"arginase, type II"	53	81
U02570_AT	ARHGAP1	Rho GTPase activating protein 1	1744	1119
D13638_S_AT	ARHGAP11A	Rho GTPase activating protein 11A	-50	-129
U79256_AT	ARHGAP19	Rho GTPase activating protein 19	-202	115
U90908_AT	ARHGAP22	Rho GTPase activating protein 22	13	-20
D29642_AT	ARHGAP25	Rho GTPase activating protein 25	43	-154
X78817_AT	ARHGAP4	Rho GTPase activating protein 4	1124	927
U17032_AT	ARHGAP5	Rho GTPase activating protein 5	71	35
X69550_AT	ARHGDIA /// LOC728908	Rho GDP dissociation inhibitor (GDI) alpha /// similar to Rho GDP dissociation inhibitor (GDI) alpha	1138	4276
L20688_AT	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	4046	5284
