Gene.Chr	MCF7	BT474	ZR751	T47D	MDAMB468	MDAMB231	BT20
ABCD3.1	1493	2332	2475	2556	8992	2842	5977
ABCD4.14	1483	1048	719	1801	381	1939	829
ABCE1.4	2697	4293	3886	3331	7172	3565	3774
ABCF1.6	5667	6680	3615	6398	9344	7048	10934
ABCF2.7	3407	3383	2044	2320	4882	4914	6373
ABCF3.3	3493	3992	2046	5675	1236	2648	3226
ABCG1.21	1581	1196	2314	889	59	962	28
ABCG2.4	533	18	124	30	3	178	705
ABCG4.11	8	5	1	30	42	26	10
ABCG5.2	3	1	1	0	5	0	1
ABCG8.2	1	7	3	2	2	0	1
ABHD1.2	16	19	51	138	30	4	16
ABHD10.3	757	1647	982	1520	1327	1429	1942
ABHD11.7	2760	3220	3194	2220	1133	544	838
ABHD12.20	5017	2997	2475	3698	2707	3167	1298
ABHD12B.14	3	0	0	16	1	47	0
ABHD13.13	530	538	710	690	1254	412	695
ABHD14A.3	239	128	62	169	54	510	62
ABHD14B.3	1102	1105	2435	3934	1058	2123	860
ABHD2.15	19986	3823	4694	4534	3147	5080	9191
ABHD3.18	552	555	1215	654	1278	653	1033
ABHD4.14	1279	1201	764	1005	574	2187	8648
ABHD5.3	639	715	602	1335	1126	1022	1032
ABHD6.3	112	282	252	270	226	469	534
ABHD7.1	17	4	70	0	185	583	19
ABHD8.19	232	360	234	893	2758	957	7117
ABHD9.19	9	2	5	0	25	1	8
ABI1.10	2620	3032	3455	2395	2928	1606	6374
ABI2.2	3729	1501	2884	2244	8742	3816	5058
ABI3.17	10	22	1	1	2	23	0
ABI3BP.3	2	6	26	12	14	21	16
ABL1.9	5747	14659	2839	4558	3868	5520	10414
ABL2.1	1949	1156	2485	2472	5485	7747	2367
ABLIM1.10	4589	974	12112	4044	9777	9543	1006
ABLIM2.4	433	173	126	4	213	13	12
ABLIM3.5	1360	259	163	378	138	3426	400
ABO.9	0	2	2	0	0	2	3
ABP1.7	23	34	15	9	8	1	14
ABR.17	10222	4818	3708	2957	2181	9143	6775
ABRA.8	1	6	2	0	0	1	0
ABT1.6	1625	999	738	1389	1816	1378	1089
ABTB1.3	1119	397	285	263	275	1202	745
ABTB2.11	1993	1212	637	844	2479	2440	5169
ACAA1.3	2607	921	1598	1891	993	1653	2017
ACAA2.18	1573	1069	1055	1182	1751	702	1066
ACACA.17	4054	41979	7668	13412	6957	8294	6235
ACACB.12	598	180	1014	376	646	431	797
ACAD10.12	1497	1349	954	2817	416	676	636
ACAD11.3	1121	724	175	1076	539	559	585
ACAD8.11	769	1101	737	1918	909	1070	1132
ACAD9.3	2707	2935	1481	3116	2137	1787	3856
ACADL.2	13	0	0	0	0	15	0
ACADM.1	625	1605	2146	1103	3471	1006	1874
ACADS.12	519	80	6	402	308	519	16
ACADSB.10	816	1056	2163	1089	508	620	316
ACADVL.17	10365	10928	7410	10682	8314	7954	17645
ACAN.15	4	12	2	1	1	0	14
ACAT1.11	1102	2193	2295	4807	3409	3472	2619
ACAT2.6	1495	1514	1178	2841	6180	2480	5121
ACBD3.1	3189	4156	7724	5182	5266	2023	3399
ACBD4.17	273	188	352	912	151	260	266
ACBD5.10	1805	2420	2445	1065	1155	946	3830
ACBD6.1	1795	925	1684	2078	2196	1277	1505
ACBD7.10	563	161	181	1477	565	357	611
ACCN1.17	4	3	29	0	0	0	0
ACCN2.12	590	175	284	1281	399	549	44
ACCN3.7	281	533	72	283	185	316	348
ACCN4.2	25	3	8	3	2	2	9
ACCN5.4	3	1	4	0	0	0	0
ACCS.11	518	67	190	815	766	197	189
ACD.16	1272	936	2235	902	782	1017	5265
ACE.17	147	28	91	643	77	25	67
ACE2.x	37	8	20	10	377	2	341
ACHE.7	228	34	128	20	9	14	227
ACIN1.14	10604	13806	6106	5314	5999	5319	10824
ACLY.17	11587	16672	19133	23904	18209	15249	16521
ACMSD.2	28	0	8	7	13	2	6
ACN9.7	0	1	11	2	257	232	279
ACO1.9	1508	939	1580	2295	2715	4855	3303
ACO2.22	3358	4780	2809	4544	3176	3369	3449
ACOT1.14	37	277	411	690	427	23	297
ACOT11.1	36	17	36	18	168	63	408
ACOT12.5	1	1	0	4	0	0	0
ACOT2.14	859	1826	829	1538	547	272	348
ACOT4.14	808	1039	674	3187	120	116	1001
ACOT6.14	6	59	79	194	0	3	10
ACOT7.1	2720	1408	1372	2377	2336	5921	2288
ACOT8.20	836	559	467	1274	523	976	1632
ACOT9.x	961	1554	29	1879	2478	3595	1619
ACOX1.17	2534	3204	5226	7165	5197	1618	4670
ACOX2.3	19	14	454	1470	49	345	31
ACOX3.4	928	493	665	685	803	613	868
ACOXL.2	21	4	0	0	2	31	0
ACP1.2	3223	3630	3422	2000	8741	3087	6120
ACP2.11	1741	1396	2577	2786	1398	1840	1674
ACP5.19	31	16	3	6	84	1	1
ACP6.1	1097	482	566	612	1182	797	1029
ACPL2.3	285	1350	384	570	914	150	282
ACPP.3	110	269	63	36	349	0	495
ACPT.19	10	12	13	6	1	3	9
ACR.22	6	2	0	0	3	3	1
ACRBP.12	36	95	25	5	5	5	13
ACRC.x	35	94	43	20	36	9	42
ACRV1.11	6	14	3	16	7	10	17
ACSBG1.15	15	12	2	14	26	3	48
ACSBG2.19	12	26	14	29	15	4	10
ACSF2.17	1625	7549	1495	1666	1637	839	3365
ACSF3.16	1939	1423	910	1698	902	638	1532
ACSL1.4	1895	16126	2769	4550	9795	1978	8882
ACSL3.2	6843	10979	10075	4675	9976	4968	4254
ACSL4.x	48	37	222	140	5201	3228	4885
ACSL5.10	2	7	50	0	278	7027	612
ACSL6.5	8	9	20	30	23	4	3
ACSM1.16	8	33	70	73	5	0	2
ACSM2A.16	0	0	2	0	0	0	1
ACSM2B.16	2	2	1	0	0	0	1
ACSM3.16	112	366	209	418	75	52	115
ACSM4.12	2	56	9	0	34	38	28
ACSM5.16	0	0	0	0	2	0	0
ACSS1.20	876	9799	306	1809	149	1191	0
ACSS2.20	1451	5895	1558	2366	6470	3110	5023
ACSS3.12	1600	196	6	621	0	933	26
ACTA1.1	17	12	9	7	40	7	18
ACTA2.10	405	232	93	1249	19	74	19
ACTB.7	289267	147421	110053	233530	241164	208675	364284
ACTBL2.5	6	4	2	0	372	11	10
ACTC1.15	2	16	1	0	3	4	2
ACTG1.17	244714	111859	39499	82093	109318	188357	82016
ACTG2.2	589	309	77	200	215	461	1248
ACTL6A.3	3146	5747	3115	7961	3674	4169	6124
ACTL6B.7	4	14	10	3	0	1	0
ACTL7A.9	0	0	0	0	0	0	0
ACTL7B.9	1	7	0	2	2	0	0
ACTL8.1	31	7	247	12	5	0	44
ACTN1.14	21838	10303	4777	13895	23471	28449	48485
ACTN2.1	2	13	108	189	3	2	1
ACTN3.11	11	26	29	6	13	4	2
ACTN4.19	43931	37452	19638	14766	44492	58405	93658
ACTR10.14	1610	1611	1650	2865	3318	1001	1422
ACTR1A.10	5718	5655	4682	11433	3581	7207	2552
ACTR1B.2	4544	2372	1563	2738	2891	3539	6576
ACTR2.2	10084	16251	22275	9239	24341	11545	19874
ACTR3.2	7886	10588	9114	5820	19963	10345	20647
ACTR3B.7	392	733	299	425	607	300	448
ACTR5.20	602	269	448	656	563	479	860
ACTR6.12	741	900	1057	1186	3313	523	1368
ACTR8.3	1114	1347	819	844	1278	1523	952
ACTRT1.x	0	2	0	0	0	0	0
ACTRT2.1	0	0	0	0	0	0	0
ACVR1.2	1491	646	488	526	1125	1033	1648
ACVR1B.12	2911	3088	2641	2465	1078	1063	1708
ACVR1C.2	15	25	71	16	231	12	67
ACVR2A.2	400	571	483	214	383	343	553
ACVR2B.3	1712	808	889	817	1186	1465	463
ACVRL1.12	2	3	6	0	0	99	0
ACY1.3	730	857	1293	2117	1095	2013	1550
ACY3.11	0	132	27	2	66	2	0
ACYP1.14	204	178	215	317	622	232	227
ACYP2.2	201	164	197	50	509	157	377
ADA.20	281	123	407	237	792	124	1072
ADAD1.4	0	0	0	0	0	0	0
ADAD2.16	37	2	0	34	0	0	1
ADAL.15	124	171	212	358	241	138	332
ADAM10.15	4255	5471	4987	5118	9934	7402	18828
ADAM11.17	309	118	90	259	57	263	46
ADAM12.10	60	25	8	0	3	115	13
ADAM15.1	6290	7830	19917	23678	11742	10256	21184
ADAM17.2	2314	2342	958	1031	4942	4374	5490
ADAM18.8	1	0	0	0	0	0	0
ADAM19.5	93	147	464	29	11	2960	5
ADAM2.8	49	0	0	0	0	0	2
ADAM20.14	6	25	2	4	4	0	9
ADAM21.14	0	8	1	24	35	4	4
ADAM22.7	388	165	240	309	43	221	182
ADAM23.2	19	6	9	0	0	0	3
ADAM28.8	3	0	2	0	20	16	0
ADAM29.4	8	0	0	0	0	0	0
ADAM30.1	0	3	0	0	6	0	4
ADAM32.8	92	78	0	23	9	5	13
ADAM33.20	2	1	1	3	5	1	1
ADAM7.8	0	0	0	1	0	0	0
ADAM8.10	458	79	80	109	134	17579	177
ADAM9.8	3250	3749	5262	16185	11640	8243	27081
ADAMDEC1.8	0	0	0	0	0	0	0
ADAMTS1.21	28	676	327	8	55	76	0
ADAMTS10.19	47	16	24	89	6	0	49
ADAMTS12.5	19	15	7	0	1	2881	9
ADAMTS13.9	478	643	367	581	115	43	236
ADAMTS14.10	7	34	11	4	60	43	12
ADAMTS15.11	19	17	1608	625	4	1119	64
ADAMTS16.5	0	13	4	0	4	413	242
ADAMTS17.15	425	263	97	10	412	229	31
ADAMTS18.16	2	21	1	3	3	0	1
ADAMTS19.5	2246	381	133	30	1	1	0
ADAMTS2.5	8	20	5	9	6	10	0
ADAMTS20.12	43	5	8	106	8	13	57
ADAMTS3.4	6	4	88	20	12	100	3
ADAMTS4.1	7	67	29	55	31	2	2
ADAMTS5.21	2	15	2	0	0	2	0
ADAMTS6.5	25	4	7	31	4	231	35
ADAMTS7.15	223	27	31	614	33	69	35
ADAMTS8.11	3	15	7	25	2	8	2
ADAMTS9.3	384	42	6	1	2	391	65
ADAMTSL1.9	26	18	18	2	1	1084	0
ADAMTSL2.9	1	4	0	2	1	2	0
ADAMTSL3.15	315	97	413	39	1	25	106
ADAMTSL4.1	112	116	113	513	435	560	1207
ADAMTSL5.19	344	60	215	755	121	346	902
ADAR.1	26656	24776	31040	18382	20431	10670	31674
ADARB1.21	1961	1529	485	515	1471	1068	1441
ADARB2.10	19	7	7	42	1	2	4
ADAT1.16	1609	1218	909	1661	1559	691	4959
ADAT2.6	150	144	128	228	712	215	183
ADAT3.19	317	117	171	339	165	177	309
ADC.1	50	26	22	55	64	420	27
ADCK1.14	691	463	271	737	288	49	306
ADCK2.7	1859	1319	1423	1731	2188	1014	2077
ADCK4.19	1138	866	913	1152	1154	428	1797
ADCK5.8	1248	678	474	403	212	279	500
ADCY1.7	13155	708	5046	353	51	0	1
ADCY2.5	0	78	94	3	0	0	0
ADCY3.2	2807	545	1735	1191	5646	4501	5754
ADCY4.14	24	16	10	12	9	2	1
ADCY5.3	995	18	6	3	3	0	17
ADCY6.12	3599	7450	7918	12196	3407	1918	8231
ADCY7.16	395	126	1292	68	2052	2112	1579
ADCY8.8	0	3	0	0	0	0	0
ADCY9.16	4878	1487	4318	3869	1416	2510	786
ADCYAP1.18	0	0	6	2	122	0	0
ADCYAP1R1.7	0	1	0	0	0	0	0
ADD1.4	7094	7517	7139	8804	4618	9470	12573
ADD2.2	8	11	9	2	2	143	257
ADD3.10	274	1758	2751	1794	1818	2854	1726
ADFP.9	308	507	646	1182	1735	3435	1831
ADH1A.4	0	3	0	0	1	0	0
ADH1B.4	0	0	0	0	1	0	0
ADH1C.4	0	2	50	0	13	4	1
ADH4.4	0	0	0	0	0	0	0
ADH5.4	2549	3274	1433	2524	3090	1983	1134
ADH6.4	6	7	5	1	10	4	1
ADH7.4	2	0	0	0	1	0	0
ADHFE1.8	168	162	69	405	56	17	161
ADI1.2	3617	2521	2339	2796	3764	2496	9357
ADIG.20	0	0	0	0	0	0	0
ADIPOQ.3	2	8	13	48	0	0	0
ADIPOR1.1	7589	3723	12314	6851	9690	3961	10408
ADIPOR2.12	14512	6548	8805	5138	4453	4816	7308
ADK.10	3270	1411	1923	5796	4822	1928	3115
ADM.11	112	108	56	1264	295	1437	1893
ADM2.22	97	761	383	972	2145	1001	365
ADNP.20	15165	14281	8349	9425	8679	4588	12120
ADNP2.18	2451	3600	1824	2559	3085	1612	1970
ADO.10	1716	2176	1959	1634	1958	1789	2098
ADORA1.1	537	248	1219	125	1080	146	882
ADORA2A.22	132	86	413	28	522	333	394
ADORA2B.17	86	2	195	10	1260	5133	783
ADORA3.1	7	5	4	6	2	0	4
ADPGK.15	2566	1342	1585	1676	1242	1998	2954
ADPRH.3	151	22	9	368	151	51	203
ADPRHL1.13	634	953	1173	1198	381	363	285
ADPRHL2.1	1132	993	1047	1045	2819	1436	905
ADRA1A.8	7	20	17	6	17	8	8
ADRA1B.5	8	1	11	5	35	139	0
ADRA1D.20	3	2	0	0	18	2	8
ADRA2A.10	51	266	557	274	0	0	0
ADRA2B.2	28	5	34	12	284	0	9
ADRA2C.4	2052	663	333	471	9	34	958
ADRB1.10	128	45	93	31	674	23	29
ADRB2.5	0	13	13	2	383	1834	4
ADRB3.8	3	1	2	0	3	0	0
ADRBK1.11	9323	7807	18160	5818	6112	5616	6198
ADRBK2.22	357	262	1993	339	1687	302	9
ADRM1.20	13048	2795	4982	4030	3401	9789	9120
ADSL.22	1826	2118	1305	2656	2823	4869	2522
ADSS.1	2420	5052	5713	2278	7153	1822	3629
ADSSL1.14	452	529	310	396	66	14	194
AEBP1.7	47	5	12	2	4	1	4
AEBP2.12	1210	1933	3121	1533	1117	1056	1114
AES.19	7872	12001	16436	11894	8795	7847	14830
AFAP1.4	2599	3391	1693	702	2145	14088	5513
AFAP1L1.5	5	37	13	28	588	2794	319
AFAP1L2.10	2771	54	30	12	730	2548	33
AFAR3.1	27	20	64	24	23	3	11
AFF1.4	2215	2911	2144	1534	2352	2162	3691
AFF2.x	24	14	19	2	2	0	41
AFF3.2	137	2097	52	3905	3	114	0
AFF4.5	8203	6152	7446	7820	11726	8558	10126
AFG3L2.18	3005	9727	5513	2742	8846	4614	5256
AFM.4	0	0	0	2	0	0	2
AFMID.17	586	217	510	550	383	551	473
AFP.4	0	0	0	0	0	0	2
AFTPH.2	2059	3206	3839	2208	4709	1651	3764
AGA.4	658	3956	682	1079	912	402	377
AGBL1.15	5	1	0	0	0	0	0
AGBL2.11	119	20	18	103	32	41	22
AGBL4.1	4	13	28	6	0	3	0
AGBL5.2	2826	1794	2495	2531	3681	2469	4123
AGER.6	254	254	88	197	179	80	264
AGGF1.5	2508	1379	2314	3469	2160	1509	1726
AGK.7	949	1706	1186	830	1722	1228	1730
AGL.1	1045	1681	1373	2640	5059	1529	3983
AGMAT.1	314	13	152	82	121	205	2
AGPAT1.6	2436	2314	2475	5520	4324	6634	6738
AGPAT2.9	5154	1731	2388	1416	2521	3384	5663
AGPAT3.21	7714	4944	3576	4372	7253	6326	5528
AGPAT4.6	27	26	64	180	15	453	7
AGPAT5.8	1347	916	1750	1431	3516	1286	1130
AGPAT6.8	1958	2430	9648	4436	1728	3405	2342
AGPAT9.4	216	147	385	82	312	1928	283
AGPS.2	2	1684	884	2	6293	3295	7328
AGR2.7	13092	10157	18420	49155	194	2	0
AGR3.7	438	136	702	2920	0	0	0
AGRN.1	42680	15284	13184	36559	38494	30224	55639
AGRP.16	3	4	6	4	0	0	2
AGT.1	2	1	6	24	49	4	0
AGTPBP1.9	619	597	933	452	597	2226	873
AGTR1.3	41	62	0	0	0	0	0
AGTR2.x	4	0	0	0	0	0	0
AGTRAP.1	1331	520	1139	1570	1058	1252	1269
AGXT.2	5	122	39	0	0	0	8
AGXT2.5	0	9	4	18	4	0	1
AGXT2L1.4	4	6	0	0	0	4	2
AGXT2L2.5	1423	491	431	421	650	399	610
AHCTF1.1	1773	5228	3625	2362	5098	1487	4894
AHCY.20	13539	2627	10450	18739	5376	13217	22304
AHCYL1.1	5275	6926	10290	8942	20111	8956	27916
AHCYL2.7	1327	980	1560	723	1934	502	1511
AHDC1.1	2726	1621	1457	1275	1213	1530	1100
AHI1.6	530	690	462	555	2161	431	653
AHNAK.11	49185	41107	28590	67882	37738	52886	29034
AHNAK2.14	3959	129	688	3272	2568	3116	626
AHR.7	2002	4089	2795	2422	16611	3412	1569
AHRR.5	259	2154	117	88	131	34	1430
AHSA1.14	7549	5783	4291	6365	4047	3513	6192
AHSA2.2	1744	917	769	1051	1526	483	900
AHSG.3	1	1	0	6	0	1	0
AICDA.12	0	5	11	0	2	0	0
AIDA.1	233	144	670	198	433	349	557
AIF1.6	4	6	3	1	4	0	0
AIFM1.x	3322	3916	3768	2680	5781	1023	6099
AIFM2.10	967	431	1206	63	532	2703	1483
AIFM3.22	178	186	187	449	76	39	664
AIG1.6	567	529	536	739	2183	785	713
AIM1.6	2724	4718	7421	4049	16173	595	12738
AIM1L.1	50	52	167	522	1058	24	296
AIM2.1	0	1	2	0	0	80	49
AIP.11	3999	2553	6720	2444	2920	2241	1797
AIPL1.17	2	3	3	1	0	1	0
AIRE.21	3	0	0	0	0	1	1
AJAP1.1	16	2	0	0	0	0	0
AK1.9	709	1870	1179	1682	1028	2168	1056
AK2.1	2028	2783	2427	3438	10099	4331	4608
AK3.9	2415	611	2530	1625	891	1201	2825
AK3L1.1	256	283	157	409	1940	676	155
AK5.1	0	1	6	0	486	36	39
AK7.14	865	23	35	273	180	11	2
AKAP1.17	6963	4323	7244	1983	3263	2803	3041
AKAP10.17	1368	937	833	2529	1017	1569	2429
AKAP11.13	4426	2245	3605	3547	4391	2403	5348
AKAP12.6	46	25	47	276	8	1603	265
AKAP13.15	6701	2448	2427	1642	4683	3037	6934
AKAP14.x	0	1	1	5	13	1	3
AKAP2.9	0	0	5	0	0	156	0
AKAP3.12	4	178	21	2	8	0	76
AKAP4.x	0	0	0	0	0	0	0
AKAP5.14	129	206	90	143	120	55	102
AKAP6.14	54	69	155	418	262	42	870
AKAP7.6	53	67	65	89	125	102	77
AKAP8.19	1862	3264	1562	971	2431	938	2237
AKAP8L.19	3201	5540	2037	2147	2323	1458	2140
AKAP9.7	4898	5235	3836	2794	3675	1597	2442
AKIRIN1.1	1575	1679	1991	1606	7226	1525	3358
AKIRIN2.6	2480	1932	691	892	1876	1324	2463
AKNA.9	1218	523	566	1217	499	2334	789
AKR1A1.1	2576	2816	2455	2816	2556	1579	2269
AKR1B1.7	20	14	589	4	10193	4211	54659
AKR1B10.7	46	37	309	0	2464	2	25743
AKR1C1.10	60	2	4	5	77	191	109
AKR1C2.10	1538	0	73	7	285	3	4615
AKR1C3.10	447	1	52	5	21	983	3911
AKR1C4.10	0	0	1	0	0	0	2
AKR1CL1.10	0	0	0	0	0	2	0
AKR1CL2.10	378	0	4	143	141	75	255
AKR1D1.7	3	5	5	0	2	0	0
AKR7A2.1	3194	1283	1184	2412	910	2549	2458
AKR7A3.1	25	10	580	62	9	5	17
AKT1.14	22147	22672	23330	13885	8993	9476	12451
AKT1S1.19	5845	4002	3034	2628	2501	3280	7379
AKT2.19	9721	8544	5673	5014	7874	4580	8678
AKT3.1	3	52	796	6	3488	1349	2640
AKTIP.16	623	1100	722	1341	1923	357	1394
ALAD.9	2364	1133	2568	2936	1324	1180	3366
ALAS1.3	1139	2201	1091	1984	2432	5015	3505
ALAS2.x	33	53	102	10	173	43	33
ALB.4	2	13	4	0	6	2	0
ALCAM.3	6531	10331	11400	4546	7944	10360	677
ALDH16A1.19	2802	1833	1693	1392	1527	1246	4997
ALDH18A1.10	5226	5579	5204	6154	4565	6107	2947
ALDH1A1.9	2	647	0	0	335	0	0
ALDH1A2.15	7	7	0	0	551	0	24
ALDH1A3.15	421	166	1238	717	24282	531	27592
ALDH1B1.9	1308	662	1068	584	2896	1431	2322
ALDH1L1.3	3	3	38	2	10	46	2768
ALDH1L2.12	31	13	5	910	2473	15	130
ALDH2.12	55	16827	4272	686	779	2763	7
ALDH3A1.17	33	0	10	0	34	13	93
ALDH3A2.17	2586	3741	1871	3464	3470	2471	11850
ALDH3B1.11	416	1097	1311	1829	1433	1920	1273
ALDH3B2.11	2426	40469	10749	1485	12206	28	5895
ALDH4A1.1	2793	15814	5512	3027	3228	547	3350
ALDH5A1.6	3805	1324	1110	1696	4118	641	1239
ALDH6A1.14	1381	1677	1690	3748	592	295	326
ALDH7A1.5	2080	3553	2588	5096	3210	3091	0
ALDH8A1.6	2	50	5	4	30	11	74
ALDH9A1.1	1442	6500	6048	6669	4596	4080	4335
ALDOA.16	81893	38084	68479	48362	32766	63738	65952
ALDOB.9	1	6	5	0	1	1	0
ALDOC.17	1206	57	19	2293	21	1091	267
ALG1.16	1121	724	808	1346	439	913	695
ALG10.12	327	226	279	395	199	93	351
ALG10B.12	303	473	1244	940	314	167	523
ALG11.13	268	404	681	517	251	165	642
ALG12.22	1275	1140	1022	1127	804	977	1044
ALG13.x	965	155	783	413	866	225	1191
ALG14.1	155	228	201	320	753	359	188
ALG2.9	2000	926	1416	1056	2307	2087	2861
ALG3.3	2763	2378	1896	6185	2287	2581	3354
ALG5.13	973	607	1257	981	798	654	921
ALG6.1	471	487	685	715	1730	364	419
ALG8.11	2066	1009	1724	3273	3500	2199	1271
ALG9.11	610	819	986	2386	1801	1608	1369
ALK.2	7	7	1	0	5	3	6
ALKBH1.14	725	657	478	1175	377	241	495
ALKBH2.12	530	360	445	402	510	159	258
ALKBH3.11	331	4	612	1141	1977	971	1039
ALKBH4.7	902	434	333	313	298	182	347
ALKBH5.17	8582	5300	3868	3315	4385	5900	7223
ALKBH6.19	846	401	613	413	548	382	1009
ALKBH7.19	967	754	872	712	673	708	1356
ALKBH8.11	90	234	125	317	414	391	292
ALLC.2	0	0	0	0	4	1	0
ALMS1.2	3078	1491	980	1016	4316	2706	3560
ALOX12.17	119	42	12	60	33	48	56
ALOX12B.17	101	14	24	24	15	11	0
ALOX15.17	998	17	66	407	33	1	3923
ALOX15B.17	12	3518	32	11	1	3	45
ALOX5.10	35	2	218	6	756	88	1470
ALOX5AP.13	4	0	6	2	6	30	3
ALOXE3.17	479	19	126	613	106	7	74
ALPI.2	0	0	0	0	3	0	1
ALPK1.4	309	778	702	677	637	176	283
ALPK2.18	2	14	9	0	35	6	101
ALPK3.15	167	255	110	59	1949	8	943
ALPL.1	8	46	22	32	2	1	10
ALPP.2	12	9	84	2	1424	38	9320
ALPPL2.2	7	0	6	2	54	2	33
ALS2.2	1534	1660	1055	1190	1874	1405	3459
ALS2CL.3	522	326	738	1170	1150	990	1180
ALS2CR11.2	7	1	1	0	2	26	1
ALS2CR12.2	13	22	7	6	11	4	15
ALS2CR13.2	1110	829	473	212	1262	191	1010
ALS2CR2.2	225	263	347	182	304	478	637
ALS2CR4.2	571	1751	892	1066	2046	879	2430
ALS2CR8.2	230	248	362	161	287	60	241
ALX1.12	0	0	0	0	0	0	0
ALX3.1	40	78	64	88	231	62	277
ALX4.11	4	27	15	3	10	1	125
AMAC1.17	3	1	3	1	3	5	0
AMAC1L2.8	1	6	0	0	0	0	1
AMAC1L3.17	7	2	1	0	0	0	6
AMACR.5	669	1623	528	524	463	246	1596
AMBN.4	0	0	0	0	0	0	0
AMBP.9	8	20	173	0	3	2	3
AMBRA1.11	3139	2414	1404	2618	2694	1577	2617
AMD1.6	2240	3558	2734	2591	10373	2540	7482
AMDHD1.12	3	26	2	4	57	41	44
AMDHD2.16	1456	424	802	789	404	641	652
AMELX.x	0	1	0	0	0	0	0
AMELY.y	0	0	0	0	0	0	0
AMFR.16	6856	6720	6947	14347	9162	5694	11891
AMH.19	1074	20	223	828	809	623	331
AMHR2.12	1	7	8	4	3	0	0
AMICA1.11	4	1	1	0	0	0	0
AMIGO1.1	410	349	159	293	414	632	391
AMIGO2.12	15932	863	2496	508	1082	3086	713
AMIGO3.3	326	292	178	353	199	471	696
AMMECR1.x	2213	1995	1642	650	5898	360	3951
AMMECR1L.2	2353	2441	2471	1360	3073	1715	4183
AMN.14	8	2	4	10	22	18	30
AMN1.12	131	346	368	320	369	101	82
AMOT.x	1182	1527	2016	296	14225	17	6262
AMOTL1.11	2919	8591	2304	460	10509	6522	9868
AMOTL2.3	11133	6211	2426	6524	10566	9031	14531
AMPD1.1	36	1	0	2	0	0	0
